case_id,timestamp,activity,costs
0,2020-01-01 12:00:00,Battery cell completely discharged,1
0,2020-01-02 11:44:28,Check battery cell for damage,1
0,2020-01-02 14:37:04,Open battery cell,1
0,2020-01-02 20:30:34,Collect electrolyte separately,1
0,2020-01-03 02:26:53,Clean electrodes,1
0,2020-01-03 10:24:11,Shred electrodes,1
0,2020-01-03 13:23:42,Melt down solid materials,1
0,2020-01-04 05:26:46,Collect recyclable materials,1
0,2020-01-04 09:24:07,Dispose of non-reusable materials,1
1,2020-01-01 20:05:00,Battery cell completely discharged,1
1,2020-01-02 19:37:10,Check battery cell for damage,1
1,2020-01-02 22:32:57,Open battery cell,1
1,2020-01-03 04:29:45,Collect electrolyte separately,1
1,2020-01-03 10:26:00,Clean electrodes,1
1,2020-01-03 18:36:46,Shred electrodes,1
1,2020-01-03 21:36:17,Melt down solid materials,1
1,2020-01-04 13:37:48,Collect recyclable materials,1
1,2020-01-04 17:39:32,Dispose of non-reusable materials,1
2,2020-01-02 05:14:00,Battery cell completely discharged,1
2,2020-01-03 05:27:04,Check battery cell for damage,1
2,2020-01-03 07:39:52,Check the capacity of the safety box,1
2,2020-01-03 07:45:48,Place battery cell in safety box,1
3,2020-01-02 08:21:00,Battery cell completely discharged,1
3,2020-01-03 08:49:19,Check battery cell for damage,1
3,2020-01-03 11:51:34,Open battery cell,1
3,2020-01-03 17:56:01,Collect electrolyte separately,1
3,2020-01-03 23:57:42,Clean electrodes,1
3,2020-01-04 06:22:55,Clean electrodes,1
3,2020-01-04 14:18:06,Shred electrodes,1
3,2020-01-04 17:15:32,Melt down solid materials,1
3,2020-01-05 09:16:22,Collect recyclable materials,1
3,2020-01-05 13:17:44,Dispose of non-reusable materials,1
4,2020-01-02 13:52:00,Battery cell completely discharged,1
4,2020-01-03 13:43:14,Check battery cell for damage,1
4,2020-01-03 16:54:49,Open battery cell,1
4,2020-01-03 22:51:33,Collect electrolyte separately,1
4,2020-01-04 04:51:38,Clean electrodes,1
4,2020-01-04 11:23:36,Clean electrodes,1
4,2020-01-04 19:16:21,Shred electrodes,1
4,2020-01-04 22:15:49,Melt down solid materials,1
4,2020-01-05 14:17:55,Collect recyclable materials,1
4,2020-01-05 18:24:14,Dispose of non-reusable materials,1
5,2020-01-02 22:40:00,Battery cell completely discharged,1
5,2020-01-03 23:12:02,Check battery cell for damage,1
5,2020-01-04 02:04:33,Open battery cell,1
5,2020-01-04 08:15:16,Collect electrolyte separately,1
5,2020-01-04 14:06:54,Clean electrodes,1
5,2020-01-04 20:35:19,Clean electrodes,1
5,2020-01-05 03:03:45,Clean electrodes,1
5,2020-01-05 11:01:39,Shred electrodes,1
5,2020-01-05 14:04:22,Melt down solid materials,1
5,2020-01-06 06:01:09,Collect recyclable materials,1
5,2020-01-06 10:02:40,Dispose of non-reusable materials,1
6,2020-01-03 00:01:00,Battery cell completely discharged,1
6,2020-01-03 23:55:08,Check battery cell for damage,1
6,2020-01-04 02:34:00,Open battery cell,1
6,2020-01-04 08:43:51,Collect electrolyte separately,1
6,2020-01-04 14:49:56,Clean electrodes,1
6,2020-01-04 22:57:46,Shred electrodes,1
6,2020-01-05 01:57:24,Melt down solid materials,1
6,2020-01-05 17:57:08,Collect recyclable materials,1
6,2020-01-05 21:57:33,Dispose of non-reusable materials,1
7,2020-01-03 05:34:00,Battery cell completely discharged,1
7,2020-01-04 05:46:10,Check battery cell for damage,1
7,2020-01-04 08:38:49,Open battery cell,1
7,2020-01-04 14:48:19,Collect electrolyte separately,1
7,2020-01-04 20:44:30,Clean electrodes,1
7,2020-01-05 04:50:33,Shred electrodes,1
7,2020-01-05 07:55:00,Melt down solid materials,1
7,2020-01-05 23:56:22,Collect recyclable materials,1
7,2020-01-06 03:57:15,Dispose of non-reusable materials,1
8,2020-01-03 06:09:00,Battery cell completely discharged,1
8,2020-01-04 06:16:14,Check battery cell for damage,1
8,2020-01-04 09:07:28,Open battery cell,1
8,2020-01-04 15:34:02,Collect electrolyte separately,1
8,2020-01-04 21:28:16,Clean electrodes,1
8,2020-01-05 05:17:12,Shred electrodes,1
8,2020-01-05 08:18:59,Melt down solid materials,1
8,2020-01-06 00:15:33,Collect recyclable materials,1
8,2020-01-06 04:20:58,Dispose of non-reusable materials,1
9,2020-01-03 07:06:00,Battery cell completely discharged,1
9,2020-01-04 07:13:25,Check battery cell for damage,1
9,2020-01-04 08:58:40,Check the capacity of the safety box,1
9,2020-01-04 09:04:21,Place battery cell in safety box,1
10,2020-01-03 07:44:00,Battery cell completely discharged,1
10,2020-01-04 07:19:34,Check battery cell for damage,1
10,2020-01-04 10:29:16,Open battery cell,1
10,2020-01-04 16:41:07,Collect electrolyte separately,1
